Index,Cruise,Vessel name,Station,Haul,Date [UTC],Time [UTC],  Lat [°N],  Lon [°E]                              ,  Bottom depth [m]                      ,  Depth [m]                             ,  Pressure [dbar]                       ,  Temperature [°C]                      ,  Salinity [PSS-78]                     ,  Conductivity [mS/cm]                  ,  Oxygen concentration [µM]             ,  Temperature from oxygen sensor [°C]   ,  Oxygen saturation [%]                 ,  Chlorophyll a []                      ,  Light []                              ,  Speed [kn]                            ,  Dr. Haardt fluorescence channel A     ,  Dr. Haardt fluorescence channel B     ,  Dr. Haardt fluorescence channel C     ,  Dr. Haardt fluorescence channel D     ,  Speed over ground [kn]                  ,  Speed in water []                     ,  Frames [frames/s]                     ,  Automatic classification              ,  Manual classification                 ,  Area [pixels]                         ,  Form                                  ,  Area                                  ,  Length                                ,  Width                                 ,  Convexity                             ,  Structure                             ,  Graymean                              ,  Kurtosis                              ,  Skewness                              ,  Hu moment 1                           ,  Hu moment 2                           ,  Hu moment 3                           ,  Hu moment 4                           ,  Hu moment 5                           ,  Hu moment 6                           ,  Hu moment 7                           ,  Fourier descriptor 01                 ,  Fourier descriptor 02                 ,  Fourier descriptor 03                 ,  Fourier descriptor 04                 ,  Fourier descriptor 05                 ,  Fourier descriptor 06                 ,  Fourier descriptor 07                 ,  Fourier descriptor 08                 ,  Fourier descriptor 09                 ,  Fourier descriptor 10                 ,  Image file name                       
Evaluation,0,0,0,0,0,0,0,0,0,128,0,129,130,0,131,0,0,132,0,0,133,134,135,136,0,0,0,0,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,226,1.31014572,0.123,0,0,1.488416791,230.6592834,129,-1.177948684,0.036236556,0.182138602,0.006886722,0.00013241,8.11E-06,2.66E-10,6.72E-07,7.01E-12,1347.502876,463.7381343,5.316356907,29.56327865,4.930040103,9.088520572,11.42311198,9.02156401,0.268553731,1,20130828 175335  001  000000 0858 0442.bmp
2,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,163,4.131962979,0.089,0,0,8.806466103,417.6626719,66,0.410091434,1.461343598,0.241876389,0.015504819,0.003868259,0.002117807,5.73E-06,0.000262903,-1.97E-06,1746.611004,564.9603985,235.0999126,53.32796091,49.73907069,23.44645964,17.60829385,25.55948501,5.479903282,6.861524126,20130828 175335  101  000000 0266 0250.bmp
3,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,290,1.344517482,0.158,0,0,1.941450715,338.407646,125,-1.384230916,-0.062278128,0.175583717,0.004164694,0.000173207,1.64E-05,7.95E-10,9.38E-07,-3.65E-10,1502.649993,583.5426491,14.23753472,22.03956242,20.31336055,11.52466619,16.0651317,8.88742768,5.083710703,1.751702012,20130828 175335  101  000001 0450 0690.bmp
4,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,159,2.815099657,0.087,0,0,4.270992756,429.9787776,59,0.954412286,1.647757986,0.265109034,0.032341636,0.005615727,0.002285205,8.18E-06,0.00040248,-1.74E-07,1619.453303,494.2051098,71.85907642,59.042222,16.62369957,16.60603405,24.30006645,23.57869065,10.75028104,7.110562416,20130828 175335  134  000000 0790 0250.bmp
5,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,303,1.323861159,0.165,0,0,1.109400392,340.6727211,140,-1.377720821,-0.351896845,0.168268348,0.002665797,2.97E-05,4.72E-07,-4.47E-13,-1.31E-08,-1.71E-12,1570.726265,595.3025777,5.505346617,29.82070605,6.436904553,2.967127833,1.468217435,5.064530243,2.460710773,3.581635585,20130828 175335  134  000001 0946 0686.bmp
6,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,186,1.156810214,0.101,0,0,0,162.9326009,142,-1.486538454,-0.127049317,0.160059662,0.000106725,5.71E-06,3.49E-08,1.35E-14,3.39E-10,7.76E-15,949.1743781,347.2819511,4.020188735,2.487272947,0.662290471,4.418774346,2.348129117,1.057689629,0.723408283,2.257850076,20130828 175335  268  000000 0162 0846.bmp
7,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,193,1.202260509,0.105,0,0,1,213.6875878,153,-1.518790003,-0.344705919,0.159670224,6.69E-06,1.42E-06,1.60E-09,-6.15E-17,-9.30E-13,-4.52E-17,1000.289958,353.7298265,2.037065584,1.818982658,0.401795956,4.580578713,2.286451793,3.562333342,2.133640402,2.256395904,20130828 175335  301  000000 0758 0846.bmp
8,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,202,1.87549186,0.11,0,0,4.980696678,257.7287965,98,-1.140589625,0.613585599,0.173467668,0.000341717,0.000214461,2.45E-05,5.92E-10,-4.53E-07,1.68E-09,1400.97823,481.5132782,56.57902888,24.49537318,39.38571018,23.0392626,16.38037317,10.24022931,0.617331435,4.328521833,20130828 175335  334  000000 0450 0282.bmp
9,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,110,1.337557921,0.06,0,0,1.109400392,89.08725752,99,-0.731244517,0.66493303,0.161050797,0.000149029,5.95E-05,3.52E-07,1.18E-12,3.12E-09,1.09E-12,688.8904122,215.789786,10.16391829,3.898224265,3.487849206,3.590257005,1.773018201,0.662241704,2.284538632,1.414213562,20130828 175335  334  000001 0354 0454.bmp
10,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,368,1.216306645,0.201,0,0,1.165997624,415.2317586,130,-1.254711441,-0.264274162,0.164413098,0.001156318,7.68E-05,3.27E-07,-1.47E-12,-6.29E-09,-7.15E-13,1760.141188,695.15599,19.71573691,21.14440419,13.38701438,11.22849159,5.731128286,2.279557864,6.322227673,1.859449668,20130828 175335  368  000000 0370 0282.bmp
11,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,104,1.163762198,0.057,0,0,0,66.36167662,121,-0.891961114,0.429367139,0.16040828,5.84E-06,5.49E-06,6.11E-09,3.73E-16,-1.38E-11,-1.06E-15,715.0048951,206.9503625,11.99270921,6.026649822,4.04356897,3.934204058,1.505971179,2.018479116,5.444112472,3.16227766,20130828 175335  368  000001 0898 0450.bmp
12,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,285,1.570529283,0.156,0,0,2.218800783,368.8952353,107,-1.471855507,0.389088012,0.170403928,0.002034535,0.000128559,4.35E-06,-1.00E-10,-1.96E-07,-2.30E-11,1551.810555,623.002278,29.45416915,17.44524276,19.6512159,6.769104592,17.71642088,5.602771419,10.50361375,4.113770849,20130828 175335  368  000002 0298 0494.bmp
13,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,428,1.16032269,0.234,0,0,0,491.7212259,148,-1.431386156,-0.483612961,0.163894285,0.00123788,4.85E-05,8.01E-07,4.82E-12,2.77E-08,1.30E-12,1994.362053,832.432587,76.14962704,56.92855846,17.6178665,10.50535139,7.280109889,7.32033722,10.53956732,12.6636303,20130828 175335  401  000000 1002 0286.bmp
14,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,240,2.175340109,0.131,0,0,3.638034344,299.5529732,131,-1.711927169,-0.024924333,0.167222982,0.000530726,4.37E-05,2.50E-06,5.61E-12,-5.33E-09,2.55E-11,1663.856063,640.068568,66.90128558,27.93622779,17.77098197,9.590916026,2.608418597,19.42428386,20.0840371,8.028439707,20130828 175335  401  000001 0930 0490.bmp
15,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,625,7.091079593,0.341,0,0,16.13439941,2665.378371,65,-0.374297926,1.217768895,0.220143843,0.008473196,0.003092053,0.001280425,2.00E-06,9.21E-05,-1.58E-06,8047.185844,3202.291154,1075.219733,41.60592702,135.4424451,207.9535431,212.3066416,193.5937631,106.1371152,170.9881586,20130828 175335  434  000000 0410 0542.bmp
16,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,59,1.213832801,0.032,0,0,0,56.05757698,98,-0.796691552,0.983645692,0.161742337,0.000275021,5.71E-06,1.31E-07,9.48E-14,-9.00E-11,-6.33E-14,478.1066827,104.7903659,4.114389776,0.765366865,1.414213562,2.595228596,4,3.474523308,0.732050808,2.141444942,20130828 175335  434  000001 0818 0866.bmp
17,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,186,1.112745328,0.101,0,0,0,189.0193865,155,-1.599304509,-0.363658738,0.159708158,1.16E-05,2.99E-06,1.72E-10,3.44E-18,5.78E-13,-1.84E-18,1029.685874,347.0711655,6.900677948,5.661923516,4.613822522,6.14532118,2.314428644,4.141329028,1.569836746,0.525808747,20130828 175335  468  000000 0638 0134.bmp
18,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,10817,17.49163028,5.903,0,0,117.5732422,153554.7335,19,12.51715938,3.588500358,0.489190443,0.042012362,0.175942758,0.034000729,0.00260646,-0.000840261,0.000349377,247073.9301,130957.1318,22316.45284,10739.0456,11079.30498,11799.20642,7085.205774,1387.663483,3948.316789,4562.676353,20130828 175335  468  000001 0178 0290.bmp
19,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,884,10.65204498,0.482,0,0,22,2982.03349,68,-0.295988606,1.224856005,0.257855283,0.021716324,0.000679193,3.49E-05,5.07E-09,2.09E-06,-1.77E-09,12717.04573,5642.848915,1263.373356,94.28510732,364.6646358,214.1477804,217.0930012,538.9872466,373.8505838,49.72878495,20130828 175335  468  000002 1054 0534.bmp
20,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,400,5.95388698,0.218,0,0,3.79245472,1882.444681,57,1.272606045,1.668179772,1.014818045,0.990698911,0.216843909,0.198758389,0.04126182,0.194728032,-0.00032458,8240.122875,2951.298658,140.7839446,358.7781447,26.12801874,124.1920202,5.770159523,70.55260684,4.075173414,33.90379814,20130828 175335  501  000000 0650 0266.bmp
21,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,9238,5.416725008,5.041,0,0,50.36372757,37503.50817,56,0.546276956,1.404042624,0.269409768,0.036745735,0.002568977,0.000238981,-1.36E-07,-2.45E-05,-1.29E-07,68498.43716,44171.71463,7258.145717,5243.275168,2978.201423,2094.036256,799.0152553,1911.660998,484.6717725,551.9977411,20130828 175335  501  000001 0814 0334.bmp
22,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,617,12.47394961,0.337,0,0,14.75955009,3627.412596,36,4.590138459,2.518652457,2.543152581,6.193608822,2.021479208,1.263342665,2.002648387,2.57856646,-0.255707326,19440.67409,8771.29349,809.4480334,1043.507697,89.21041555,381.2325099,45.81193476,195.9037897,67.55013059,98.44939806,20130828 175335  501  000002 0822 0454.bmp
23,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,134,5.359333507,0.073,0,0,7.648529053,377.1197319,71,-0.28639863,1.249426433,0.295389167,0.017288813,0.008286424,0.001237961,2.00E-06,-3.23E-05,-3.42E-06,1846.365619,461.7425517,249.029748,96.33518196,43.44321318,35.12161246,33.89861698,25.94896928,29.07660214,14.20352642,20130828 175335  567  000000 0278 0714.bmp
24,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,95,4.838067806,0.052,0,0,5.599999905,242.5525387,83,-0.878043262,0.974486405,0.318360143,0.017171418,0.013953299,0.000428313,3.04E-08,5.36E-05,1.05E-06,1436.925189,407.1118746,82.48456558,67.74787901,59.06936921,26.14934201,47.18101753,18.46341402,9.333640853,10.66961201,20130828 175335  601  000000 0882 0714.bmp
25,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,124,1.2423731,0.068,0,0,1.109400392,177.6786176,74,0.716054533,1.566944083,0.162203268,0.000393862,9.24E-05,7.61E-07,-8.62E-13,-6.03E-09,6.32E-12,807.1387737,252.9462047,10.35841815,5.835806786,7.836051035,1.473625758,2.316639916,2.850375395,2.260200995,0.914694901,20130828 175335  734  000000 0146 0274.bmp
26,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,95,1.08554984,0.052,0,0,0,89.49148066,101,0.045752747,1.072937711,0.162240885,0.000782943,1.19E-05,1.38E-07,1.61E-13,3.12E-09,-7.50E-14,622.8964601,165.5367659,5.506117147,7.477005889,1.857845496,5.602883619,2.322194562,1.200046242,1.465780995,1.221030212,20130828 175335  867  000000 0374 0742.bmp
27,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NC,NC,253,1.816665777,0.138,0,0,0,465.4788871,99,-0.556161029,0.609764072,0.302183771,0.06464161,0.000113905,2.50E-05,9.82E-10,3.00E-06,9.01E-10,1911.206164,690.7970807,34.3803301,88.20633942,25.91161885,34.40384928,9.105436033,15.01590105,2.523942825,3.557647291,20130828 175336  134  000000 0346 0594.bmp
28,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NC,NC,181,1.744901418,0.099,0,0,2.828427076,194.8627094,98,-1.117897189,0.633398121,0.172528009,0.001406416,0.000320349,1.02E-05,2.16E-10,3.81E-07,-5.38E-10,1228.632573,418.4178152,28.89048294,9.670763729,17.17464518,17.91879177,12.23843003,12.520547,3.820359083,4.16410206,20130828 175336  167  000000 0330 0366.bmp
29,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NC,NC,244,1.883673941,0.133,0,0,1.07331264,393.8050203,108,-0.507277662,0.566819188,0.316858611,0.073960286,3.66E-05,4.05E-06,-3.12E-11,-8.58E-07,-3.81E-11,1965.792715,678.8055844,32.31234259,102.4258415,10.64766245,29.80889436,2.608418597,10.31905588,6.998927764,7.955141183,20130828 175336  167  000001 0594 0594.bmp
30,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NC,NC,151,1.71214734,0.082,0,0,2.030692339,246.118467,70,0.094342621,1.42704191,0.179333312,0.00276517,1.26E-05,1.20E-06,-4.50E-12,-2.70E-08,-1.29E-12,926.140918,354.1778436,6.115683517,12.52175381,2.532565356,21.06172067,11.11494209,8.422931422,2.745843113,5.802674633,20130828 175336  201  000000 0198 0346.bmp
31,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NC,NC,163,1.937589918,0.089,0,0,2.340822935,226.5425783,75,0.23468257,1.268168701,0.197522204,0.009315916,0.000523418,2.56E-05,1.48E-09,2.01E-06,2.57E-09,1251.664891,413.225437,35.45384013,5.002662921,8.558963061,3.263141582,9.562996482,19.33904669,3.872652566,4.066435587,20130828 175336  201  000001 0574 0362.bmp
32,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NC,NC,242,1.849590271,0.132,0,0,1.274203897,428.2238842,106,-0.652326638,0.544518383,0.316652376,0.073405684,0.000114109,3.12E-05,1.58E-09,4.59E-06,9.95E-10,2158.998147,670.6664349,41.65636744,102.7836302,19.53235753,33.4237354,6.334378869,5.496318446,10.94319314,9.042651858,20130828 175336  201  000002 0834 0590.bmp
33,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NC,NC,179,2.055574237,0.098,0,0,2.852798939,232.9760605,82,-0.109969148,1.116503637,0.172580853,8.07E-05,0.000410389,5.26E-08,-1.93E-13,1.81E-10,1.50E-13,1267.722761,463.5346736,26.15015223,8.743416646,7.081706584,10.91593682,23.6835562,13.76903852,9.943507532,10.22291757,20130828 175336  234  000000 0806 0358.bmp
34,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NC,NC,104,1.762858715,0.057,0,0,2.121320248,138.6225169,96,-1.000400393,0.677899102,0.187623939,0.00508359,0.000336199,3.62E-05,4.31E-10,-1.49E-06,-3.97E-09,880.355042,239.3594245,14.10406691,9.079168158,3.657836613,7.955141183,9.64725227,4.18200515,2.627187285,5.21844752,20130828 175336  267  000000 0298 0194.bmp
35,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NC,NC,233,2.131408204,0.127,0,0,3.050851107,252.166538,100,-1.25956143,0.608179045,0.201570182,0.011879935,0.000126088,3.68E-06,2.78E-11,3.09E-07,-7.41E-11,1821.053816,647.2478461,71.92730802,28.58779336,25.58748134,5.729388596,16.63237389,17.76473509,14.20953127,13.9405199,20130828 175336  267  000001 1030 0354.bmp
36,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NC,NC,493,2.644486726,0.269,0,0,8.446429253,990.3882439,89,-1.07259107,0.733521824,0.201385647,0.004730483,0.002997287,0.000156802,4.88E-08,-5.89E-06,-9.58E-08,3508.126138,1662.942897,129.4003797,114.2486499,80.07194609,34.57644541,15.00802359,60.06132431,25.6840709,32.43410963,20130828 175336  267  000002 0134 0738.bmp
37,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NC,NC,103,1.854911983,0.056,0,0,2.498780251,186.2230869,89,-0.942994686,0.767425554,0.250015086,0.027428098,0.004413114,0.001420187,3.43E-06,0.000217762,-9.38E-07,782.9667937,237.8665479,27.87396128,33.38880044,10.38164459,9.197716007,9.720524451,3.763026685,1.988719764,2.034579828,20130828 175336  301  000000 0542 0194.bmp
38,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NC,NC,1259,2.025110397,0.687,0,0,6.528928757,1882.716231,88,-0.192843197,0.950678784,0.188293983,0.006968905,0.000136793,1.51E-05,6.81E-10,1.26E-06,-9.26E-11,6430.334672,3305.251731,186.6625238,284.3713375,14.14924825,38.14055319,44.49086766,74.50186382,32.8560831,41.09388155,20130828 175336  301  000001 0314 0738.bmp
39,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NC,NC,1247,2.207637723,0.68,0,0,6.967575073,2085.103836,81,0.264796825,1.147605581,0.191193159,0.007665011,0.000145706,2.65E-05,1.62E-09,2.31E-06,-2.94E-10,7233.467357,3306.824735,326.8996442,314.2365078,37.85872657,65.64747799,75.68101363,68.51717389,42.29418861,21.60917631,20130828 175336  334  000000 0514 0734.bmp
40,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NC,NC,105,1.401251155,0.057,0,0,1.735443711,71.64084583,121,-1.450360498,0.240943854,0.16335361,0.000176842,8.26E-05,3.66E-07,-1.94E-12,2.93E-09,5.41E-13,764.5299209,232.7135062,21.00035339,5.449262146,6.726507422,5.543277195,5.744661301,6.430795892,3.753687513,4.13640618,20130828 175336  367  000000 0986 0198.bmp
41,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NC,NC,1175,2.073989733,0.641,0,0,6.211117744,2191.070763,74,0.497254584,1.212799239,0.179734136,0.00415562,6.53E-05,8.93E-06,2.15E-10,5.71E-07,1.31E-11,6618.997281,2941.310994,245.1808961,210.0992695,63.13086691,91.06573256,36.7927515,38.3891562,37.71757978,58.26005582,20130828 175336  367  000001 0710 0730.bmp
42,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NC,NC,670,1.976391554,0.366,0,0,4.374795437,1314.588495,105,-1.542718401,0.434334064,0.189535664,0.008764717,0.000142164,9.86E-06,3.07E-10,7.15E-07,2.05E-10,4099.676695,1644.140644,129.006824,80.26010874,37.46741019,18.94252491,29.47737096,19.47230903,15.63830333,5.887295987,20130828 175336  400  000000 0902 0726.bmp
43,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4448.967381,4521.021,0.304,32.00130138,28.705,-2788.207,-0.021,-610.259,0,0,9999,0.439,0.016,0.015,0.015,0,0,,NC,NC,1303,2.000696008,0.711,0,0,7.061063766,2744.049782,72,0.384230202,1.176530101,0.183784159,0.005484414,0.000135635,1.23E-05,4.84E-10,8.28E-07,1.29E-10,6769.782862,3115.026089,100.4018627,270.0426145,32.63362244,60.33828601,47.55788074,59.32202045,15.57161184,28.28129025,20130828 175337  034  000000 0890 0706.bmp
44,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4448.967381,4521.021,0.304,32.00130138,28.705,-2788.207,-0.021,-610.259,0,0,9999,0.439,0.016,0.015,0.015,0,0,,NC,NC,1253,1.989591117,0.684,0,0,7.550793171,2589.014377,67,0.990458895,1.384808438,0.186102666,0.006619568,0.000160361,1.35E-05,6.06E-10,1.02E-06,1.53E-10,6051.380834,3055.894365,240.8972362,269.0871684,89.11624896,9.436023525,16.78925753,54.6152311,77.03063241,42.69386487,20130828 175337  067  000000 0690 0710.bmp
45,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4448.967381,4521.021,0.304,32.00130138,28.705,-2788.207,-0.021,-610.259,0,0,9999,0.439,0.016,0.015,0.015,0,0,,NC,NC,1200,1.916394731,0.655,0,0,6.60900116,2306.326921,73,0.384085631,1.174584184,0.18680906,0.00693786,0.000186712,1.03E-05,4.24E-10,7.52E-07,1.57E-10,6270.621102,2845.277778,310.1090825,243.7289723,99.39145673,18.57185581,53.60512196,45.28165424,89.34611205,14.62664692,20130828 175337  100  000000 0470 0706.bmp
46,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4448.967381,4521.021,0.304,32.00130138,28.705,-2788.207,-0.021,-610.259,0,0,9999,0.439,0.016,0.015,0.015,0,0,,NC,NC,891,1.982728295,0.486,0,0,7.202940464,2050.214126,81,-0.900233877,0.768233136,0.211732585,0.016827747,0.000521143,3.40E-05,-3.11E-09,-3.74E-06,3.29E-09,5259.366692,2176.996456,255.5723341,124.9049224,170.5414812,33.95242011,50.73596755,56.32163475,29.69296678,21.67932422,20130828 175337  133  000000 0242 0706.bmp
47,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4448.967381,4521.021,0.304,32.00130138,28.705,-2788.207,-0.021,-610.259,0,0,9999,0.439,0.016,0.015,0.015,0,0,,NC,NC,141,1.898476589,0.077,0,0,1.55405736,307.1189158,93,-1.181501176,0.702830954,0.213504986,0.007828633,0.005278898,0.00019391,-1.25E-07,-1.27E-05,1.51E-07,1185.755455,344.130081,25.46075324,21.51482088,20.02962413,13.3285739,4.460884995,3.733875721,3.425208141,1.359938683,20130828 175337  167  000000 0946 0354.bmp
